,high,41.3,12.0,15.0,21.0,2.9,0.0,347.0,"5,251.2",112.7
,low,39.0,8.0,11.0,21.0,1.0,0.0,327.0,"5,342.0",83.0
New York Jets,Jets,32.3,13.5,10.0,16.0,2.9,0.5,379.5,"5,347.9",97.7
,high,33.0,14.0,12.0,16.0,3.0,1.0,387.0,"5,259.0",100.4
,low,31.6,13.0,8.0,16.0,2.8,0.0,372.0,"5,436.8",95.0
Jacksonville Jaguars,Jaguars,37.9,11.0,10.5,18.0,2.3,0.5,424.5,"6,181.5",95.7
,high,39.0,11.0,13.0,18.0,2.6,1.0,448.0,"5,992.0",100.3
,low,36.7,11.0,8.0,18.0,2.0,0.0,401.0,"6,371.0",97.0
Chicago Bears,Bears,33.1,12.5,12.0,18.0,2.0,0.5,308.0,"5,236.6",94.8
,high,34.0,14.0,13.0,18.0,2.9,1.0,321.0,"4,998.0",103.6
,low,32.2,11.0,11.0,18.0,1.0,0.0,295.0,"5,475.2",86.0
New York Giants,Giants,34.9,14.5,8.0,13.0,2.3,0.5,427.0,"5,809.0",94.7
,high,35.7,16.0,9.0,13.0,2.6,1.0,435.0,"5,634.0",101.3
,low,34.0,13.0,7.0,13.0,2.0,0.0,419.0,"5,984.0",94.0
Arizona Cardinals,Cardinals,40.4,9.0,11.0,18.0,2.3,0.0,412.0,"6,022.3",94.2
,high,43.0,11.0,13.0,18.0,2.6,0.0,431.0,"5,907.0",101.4
,low,37.8,7.0,9.0,18.0,2.0,0.0,393.0,"6,137.6",87.0
Cincinnati Bengals,Bengals,33.5,13.5,8.0,14.0,2.5,0.5,436.5,"6,413.8",92.2
,high,33.9,15.0,10.0,14.0,2.9,1.0,437.0,"6,330.0",101.3
,low,33.0,12.0,6.0,14.0,2.0,0.0,436.0,"6,497.6",83.0
Las Vegas Raiders,Raiders,33.1,13.0,8.0,12.0,2.4,0.5,415.5,"5,802.4",90.2
,high,33.1,16.0,9.0,12.0,2.7,1.0,425.0,"5,788.8",99.3
,low,33.0,10.0,7.0,12.0,2.0,0.0,406.0,"5,816.0",81.0
Detroit Lions,Lions,30.6,11.5,11.5,18.0,2.0,0.0,389.0,"5,901.9",88.6
,high,32.0,12.0,13.0,18.0,3.0,0.0,424.0,"5,583.0",97.2
,low,29.2,11.0,10.0,18.0,1.0,0.0,354.0,"6,220.8",92.0
Atlanta Falcons,Falcons,30.9,13.0,8.5,15.0,2.5,0.0,419.0,"5,943.5",88.6
,high,33.0,13.0,11.0,15.0,2.9,0.0,431.0,"5,840.0",94.1
,low,28.7,13.0,6.0,15.0,2.0,0.0,407.0,"6,047.0",83.0
Los Angeles Chargers,Chargers,34.2,12.0,8.0,11.0,1.8,0.0,368.5,"5,331.9",84.7
,high,35.0,12.0,8.0,11.0,2.5,0.0,375.0,"5,187.0",88.3
,low,33.3,12.0,8.0,11.0,1.0,0.0,362.0,"5,476.8",87.0
Miami Dolphins,Dolphins,25.5,15.5,7.0,10.0,1.9,0.5,434.0,"5,984.9",82.6
,high,28.0,17.0,7.0,10.0,2.7,1.0,437.0,"5,661.0",87.1
,low,22.9,14.0,7.0,10.0,1.0,0.0,431.0,"6,308.8",84.0
