Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Hekker, Johnny",LAR,@SEA,P,6.2,294.8,13.8,2.9,21.8
2,"Pinion, Bradley",SFO,TEN,P,6.3,273.5,18.6,1.9,18.7
3,"King, Marquette",OAK,DAL,P,5.3,251.1,20.2,2.3,18.1
4,"Wing, Brad",NYG,PHI,P,5.8,260.9,21.2,1.8,17.9
5,"Dixon, Riley",DEN,@IND,P,5.5,247.,17.1,1.7,16.9
6,"Lechler, Shane",HOU,@JAC,P,5.2,243.3,31.,1.8,16.8
7,"Kern, Brett",TEN,@SFO,P,5.1,230.6,25.8,2.1,16.8
8,"Haack, Matt",MIA,@BUF,P,5.2,231.5,21.6,1.9,16.4
9,"Koch, Sam",BAL,@CLE,P,4.7,217.8,16.3,2.1,16.1
10,"Colquitt, Dustin",KCC,LAC,P,4.5,196.,9.2,2.2,15.2
11,"Nortman, Brad",JAC,HOU,P,4.5,210.8,20.,1.6,14.7
12,"Allen, Ryan",NEP,@PIT,P,4.6,207.5,14.9,1.7,14.6
13,"Colquitt, Britton",CLE,BAL,P,4.9,217.5,22.4,1.3,14.5
14,"Palardy, Michael",CAR,GBP,P,4.6,202.2,17.3,1.7,14.4
15,"Huber, Kevin",CIN,@MIN,P,4.6,212.3,18.6,1.4,14.4
16,"Anger, Bryan",TBB,ATL,P,4.1,185.9,7.2,2.1,14.4
17,"Edwards, Lachlan",NYJ,@NOR,P,4.7,206.,21.8,1.5,14.
18,"Jones, Donnie",PHI,@NYG,P,4.4,205.1,11.7,1.5,14.
19,"Martin, Sam",DET,CHI,P,4.3,204.8,14.6,1.4,13.9
20,"Schmidt, Colton",BUF,MIA,P,4.8,206.,19.1,1.2,13.6
21,"O'Donnell, Pat",CHI,@DET,P,4.3,188.4,14.9,1.6,13.4
22,"Quigley, Ryan",MIN,CIN,P,4.4,182.9,14.1,1.7,13.1
23,"Ryan, Jon",SEA,LAR,P,4.1,178.8,15.2,1.5,12.5
24,"Jones, Chris",DAL,@OAK,P,3.7,170.4,8.9,1.6,12.1
25,"Berry, Jordan",PIT,NEP,P,3.9,172.6,14.,1.4,12.
26,"Morstead, Thomas",NOR,NYJ,P,3.6,170.5,14.1,1.4,12.
27,"Kaser, Drew",LAC,@KCC,P,3.9,182.8,22.7,1.1,12.
28,"Vogel, Justin",GBP,@CAR,P,3.9,171.2,9.1,1.2,11.7
29,"Way, Tress",WAS,ARZ,P,3.7,169.4,14.2,1.2,11.6
30,"Bosher, Matt",ATL,@TBB,P,3.2,145.6,13.3,1.5,11.
31,"Wile, Matt",ARZ,@WAS,P,3.8,163.9,16.9,1.,10.5
