Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Johnson, David",ARZ,@WAS,RB,18.4,76.2,0.9,0.7,0.1,0.,0.,0.,0.,5.2,55.1,0.3,0.7,0.1,0.,4.4,0.1,3.6,20.2
2,"Elliott, Ezekiel",DAL,@OAK,RB,21.,105.8,0.8,0.6,0.1,0.,0.,0.,0.1,2.3,21.3,0.,0.1,0.,0.,0.5,0.1,2.8,17.8
3,"Bell, Le'Veon",PIT,NEP,RB,18.,85.8,0.5,0.5,0.,0.,0.,0.,0.,3.7,28.1,0.1,0.1,0.1,0.,0.,0.1,2.6,15.
4,"Murray, DeMarco",TEN,@SFO,RB,17.9,73.9,0.5,0.3,0.1,0.,0.,0.,0.1,3.2,23.,0.1,0.1,0.,0.,1.3,0.1,2.5,13.4
5,"Howard, Jordan",CHI,@DET,RB,16.3,82.3,0.5,0.5,0.,0.,0.,0.,0.,1.9,19.2,0.1,0.1,0.,0.,0.,0.1,2.,13.3
6,"Hunt, Kareem",KCC,LAC,RB,14.7,64.9,0.4,0.3,0.,0.,0.,0.,0.,2.4,24.7,0.3,0.1,0.,0.,0.3,0.1,3.8,12.7
7,"McCoy, LeSean",BUF,MIA,RB,13.4,67.6,0.5,0.3,0.1,0.,0.,0.,0.,2.7,21.1,0.1,0.1,0.,0.,0.,0.1,3.2,12.4
8,"Ajayi, Jay",MIA,@BUF,RB,17.9,79.,0.4,0.3,0.1,0.1,0.,0.,0.,2.3,15.4,0.,0.1,0.,0.,0.,0.,1.5,12.
9,"Gordon, Melvin",LAC,@KCC,RB,17.7,66.2,0.4,0.4,0.,0.,0.,0.,0.,3.4,29.4,0.1,0.1,0.1,0.,0.,0.3,3.,11.8
10,"Freeman, Devonta",ATL,@TBB,RB,12.1,54.6,0.5,0.4,0.,0.,0.,0.,0.,3.2,28.,0.1,0.1,0.1,0.,0.,0.1,3.8,11.7
11,"Anderson, C.J.",DEN,@IND,RB,14.6,59.3,0.5,0.4,0.1,0.,0.,0.,0.,2.5,20.7,0.1,0.1,0.,0.,2.4,0.2,2.1,11.4
