Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Carroll, Pete",SEA,LAR,HC,1.,0.,34.,20.,27.
2,"Reid, Andy",KCC,LAC,HC,1.,0.,31.,11.,22.8
3,"Belichick, Bill",NEP,@PIT,HC,1.,0.,32.,7.,22.1
4,"Payton, Sean",NOR,NYJ,HC,1.,0.,29.,8.,20.9
5,"Gruden, Jay",WAS,ARZ,HC,1.,0.,30.,6.,20.8
6,"Mularkey, Mike",TEN,@SFO,HC,1.,0.,27.,8.,19.9
7,"Caldwell, Jim",DET,CHI,HC,1.,0.,26.,8.,19.4
8,"Harbaugh, John",BAL,@CLE,HC,1.,0.,24.,11.,19.3
9,"McCarthy, Mike",GBP,@CAR,HC,1.,0.,26.,3.,17.9
10,"Fox, John",CHI,@DET,HC,1.,0.,27.,1.,17.8
11,"McAdoo, Ben",NYG,PHI,HC,1.,0.,23.,5.,17.
12,"Garrett, Jason",DAL,@OAK,HC,1.,0.,24.,3.,16.9
13,"Quinn, Dan",ATL,@TBB,HC,0.,1.,26.,-3.,12.1
14,"Campbell, Dan",MIA,@BUF,HC,0.,1.,24.,-2.,11.4
15,"Arians, Bruce",ARZ,@WAS,HC,0.,1.,24.,-4.,10.8
16,"Rivera, Ron",CAR,GBP,HC,0.,1.,23.,-3.,10.6
17,"Del Rio, Jack",OAK,DAL,HC,0.,1.,22.,-2.,10.4
18,"Zimmer, Mike",MIN,CIN,HC,0.,1.,22.,-4.,9.8
19,"Lewis, Marvin",CIN,@MIN,HC,0.,1.,21.,-4.,9.3
20,"Koetter, Dirk",TBB,ATL,HC,0.,1.,21.,-6.,8.7
21,"Bowles, Todd",NYJ,@NOR,HC,0.,1.,21.,-8.,8.1
22,"Pagano, Chuck",IND,DEN,HC,0.,1.,19.,-5.,8.
23,"Jackson, Hue",CLE,BAL,HC,0.,1.,18.,-6.,7.2
24,"O'Brien, Bill",HOU,@JAC,HC,0.,1.,17.,-5.,7.
25,"Pederson, Doug",PHI,@NYG,HC,0.,1.,17.,-6.,6.7
26,"Tomlin, Mike",PIT,NEP,HC,0.,1.,20.,-15.,5.5
27,"McVay, Sean",LAR,@SEA,HC,0.,1.,16.,-18.,2.6
