Rank,Player,Team,Opp,Position,Yds Allowed,Pts Agn,Scks,Int,Fum,DefTD,Safts,Pts
1,"Seahawks, Seattle",SEA,LAR,D,127.6,8.8,3.6,0.5,0.9,0.,0.1,16.6
2,"Chiefs, Kansas City",KCC,LAC,D,257.1,13.6,1.2,1.2,1.,0.3,0.1,14.7
3,"Ravens, Baltimore",BAL,@CLE,D,204.8,12.5,2.2,1.7,0.8,0.,0.,14.7
4,"Texans, Houston",HOU,@JAC,D,242.3,18.2,2.7,1.8,0.4,0.,0.2,13.5
5,"Broncos, Denver",DEN,@IND,D,250.9,14.5,2.2,1.1,1.,0.1,0.,13.3
6,"Vikings, Minnesota",MIN,CIN,D,294.3,19.5,3.,0.6,0.7,0.2,0.,13.3
7,"Jaguars, Jacksonville",JAC,HOU,D,291.2,20.9,2.1,0.8,0.5,0.2,0.,12.3
8,"Bills, Buffalo",BUF,MIA,D,252.9,17.8,2.1,1.,0.4,0.,0.,11.5
9,"Falcons, Atlanta",ATL,@TBB,D,344.1,23.3,2.7,1.1,0.7,0.2,0.2,11.4
10,"Eagles, Philadelphia",PHI,@NYG,D,318.4,20.6,1.7,1.4,0.3,0.2,0.,11.2
11,"Patriots, New England",NEP,@PIT,D,329.5,17.6,2.1,1.1,0.7,0.1,0.,11.1
12,"Saints, New Orleans",NOR,NYJ,D,285.8,21.4,2.6,0.8,0.4,0.,0.2,10.4
13,"Rams, Los Angeles",LAR,@SEA,D,280.6,25.,2.2,1.,0.3,0.,0.,10.4
14,"Colts, Indianapolis",IND,DEN,D,332.6,19.9,2.4,0.7,0.6,0.1,0.,10.3
15,"Titans, Tennessee",TEN,@SFO,D,341.1,21.7,2.6,0.6,0.8,0.1,0.,10.
16,"Bengals, Cincinnati",CIN,@MIN,D,315.6,15.,2.4,1.,0.3,0.,0.1,10.
17,"Dolphins, Miami",MIA,@BUF,D,339.5,23.,1.4,1.3,0.8,0.1,0.,9.9
18,"Panthers, Carolina",CAR,GBP,D,385.8,25.6,2.8,1.1,0.9,0.,0.2,9.8
19,"Cardinals, Arizona",ARZ,@WAS,D,351.4,29.3,3.3,0.7,1.,0.2,0.,9.6
20,"Cowboys, Dallas",DAL,@OAK,D,344.5,23.1,2.8,0.8,0.6,0.,0.,9.6
21,"Raiders, Oakland",OAK,DAL,D,362.,24.4,1.4,1.2,0.9,0.1,0.,9.
22,"Chargers, San Diego",LAC,@KCC,D,348.8,29.1,2.3,1.,0.3,0.2,0.,8.8
23,"Packers, Green Bay",GBP,@CAR,D,375.8,23.4,1.8,1.4,0.6,0.,0.,8.7
24,"Bears, Chicago",CHI,@DET,D,324.3,25.3,2.5,0.5,0.3,0.1,0.1,8.5
25,"Buccaneers, Tampa Bay",TBB,ATL,D,395.8,23.1,1.4,1.1,0.3,0.1,0.,8.1
26,"Giants, New York",NYG,PHI,D,384.5,24.4,2.1,0.7,0.5,0.1,0.,8.
27,"49ers, San Francisco",SFO,TEN,D,367.9,26.3,2.4,0.7,0.5,0.,0.2,7.7
28,"Jets, New York",NYJ,@NOR,D,343.2,25.2,1.4,0.3,0.4,0.1,0.,7.5
29,"Lions, Detroit",DET,CHI,D,320.6,21.2,1.4,0.6,0.2,0.1,0.,7.4
30,"Steelers, Pittsburgh",PIT,NEP,D,400.5,27.8,2.1,0.6,0.7,0.,0.1,6.8
31,"Redskins, Washington",WAS,ARZ,D,406.6,25.,1.8,1.1,0.3,0.,0.,6.7
32,"Browns, Cleveland",CLE,BAL,D,374.7,27.2,1.6,0.7,0.2,0.,0.,6.3
