Rank,Player,Team,Opp,Position,Yds Allowed,Pts Agn,Scks,Int,Fum,DefTD,Safts,Pts
1,"Texans, Houston",HOU,CLE,D,164.2,12.2,3.4,2.3,0.5,0.,0.2,18.9
2,"Patriots, New England",NEP,@NYJ,D,250.1,13.5,2.8,1.6,0.9,0.1,0.,15.8
3,"Broncos, Denver",DEN,NYG,D,233.,13.5,2.3,1.1,1.,0.1,0.,14.6
4,"Jaguars, Jacksonville",JAC,LAR,D,206.,15.1,2.8,0.9,0.7,0.2,0.,13.9
5,"Panthers, Carolina",CAR,PHI,D,310.5,20.7,3.5,1.4,1.1,0.,0.2,13.4
6,"Cardinals, Arizona",ARZ,TBB,D,303.9,25.5,3.9,0.8,1.2,0.2,0.,12.9
7,"Ravens, Baltimore",BAL,CHI,D,295.5,18.1,1.7,1.3,0.7,0.,0.,12.3
8,"Chiefs, Kansas City",KCC,PIT,D,334.2,17.5,1.,1.,0.8,0.2,0.1,10.9
9,"Raiders, Oakland",OAK,LAC,D,312.5,21.,1.7,1.3,1.,0.1,0.,10.9
10,"Rams, Los Angeles",LAR,@JAC,D,274.9,24.5,2.3,1.,0.3,0.,0.,10.5
11,"Eagles, Philadelphia",PHI,@CAR,D,322.1,21.1,1.7,1.3,0.3,0.2,0.,10.1
12,"Steelers, Pittsburgh",PIT,@KCC,D,335.4,23.3,2.6,0.8,0.9,0.,0.1,10.1
13,"Falcons, Atlanta",ATL,MIA,D,361.1,24.4,2.6,1.1,0.7,0.2,0.2,10.
14,"Buccaneers, Tampa Bay",TBB,@ARZ,D,356.4,21.1,1.7,1.4,0.3,0.2,0.1,9.
15,"Chargers, San Diego",LAC,@OAK,D,347.4,28.6,2.3,1.,0.3,0.1,0.,8.8
16,"Packers, Green Bay",GBP,@MIN,D,374.,23.3,1.9,1.3,0.6,0.,0.,8.8
17,"Vikings, Minnesota",MIN,GBP,D,351.4,23.6,2.6,0.5,0.5,0.2,0.,8.6
18,"Saints, New Orleans",NOR,DET,D,326.1,24.4,2.4,0.7,0.3,0.,0.2,8.4
19,"Redskins, Washington",WAS,SFO,D,363.7,22.2,2.,1.3,0.3,0.,0.,8.3
20,"Titans, Tennessee",TEN,IND,D,387.1,24.7,2.3,0.6,0.6,0.1,0.,8.2
21,"Giants, New York",NYG,@DEN,D,384.3,24.2,2.2,0.7,0.5,0.1,0.,8.2
22,"Colts, Indianapolis",IND,@TEN,D,356.3,21.1,2.3,0.6,0.5,0.1,0.,7.9
23,"Browns, Cleveland",CLE,@HOU,D,326.1,23.7,1.8,0.7,0.2,0.,0.,7.7
24,"Jets, New York",NYJ,NEP,D,369.7,27.4,1.3,0.3,0.4,0.1,0.,6.1
25,"Bears, Chicago",CHI,@BAL,D,367.8,28.8,2.2,0.5,0.3,0.1,0.1,6.
26,"Lions, Detroit",DET,@NOR,D,392.6,25.7,1.1,0.5,0.2,0.1,0.,5.9
27,"49ers, San Francisco",SFO,@WAS,D,403.8,28.9,2.1,0.6,0.4,0.,0.2,5.3
28,"Dolphins, Miami",MIA,@ATL,D,460.8,31.5,1.,0.9,0.6,0.,0.,5.2
