Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Elliott, Ezekiel",DAL,@IND,RB,20.4,94.2,0.8,0.5,0.2,0.,0.,0.,0.1,2.4,25.9,0.1,0.1,0.1,0.,0.,0.,1.8,17.2
2,"Gurley, Todd",LAR,PHI,RB,17.6,76.2,0.7,0.6,0.,0.,0.,0.,0.,3.8,38.3,0.2,0.2,0.1,0.1,0.,0.1,2.3,16.7
3,"Johnson, David",ARZ,@ATL,RB,17.,71.2,0.7,0.6,0.,0.1,0.,0.,0.,4.3,44.2,0.1,0.2,0.1,0.2,1.1,0.2,2.1,16.4
4,"Fournette, Leonard",JAC,WAS,RB,19.8,76.7,0.7,0.6,0.,0.,0.,0.,0.1,2.9,24.2,0.1,0.1,0.,0.,1.6,0.,1.7,14.8
5,"Cook, Dalvin",MIN,MIA,RB,15.6,69.1,0.6,0.6,0.,0.,0.,0.,0.,3.7,28.8,0.1,0.1,0.1,0.,1.2,0.1,2.,14.2
6,"Kamara, Alvin",NOR,@CAR,RB,9.6,48.7,0.6,0.4,0.,0.1,0.,0.,0.,4.3,42.5,0.2,0.2,0.1,0.,22.4,0.1,1.9,13.9
7,"Bell, Le'Veon",PIT,NEP,RB,15.7,67.9,0.5,0.4,0.1,0.,0.,0.,0.,4.3,34.7,0.2,0.1,0.1,0.,0.,0.1,1.4,13.8
8,"Hunt, Kareem",KCC,LAC,RB,15.9,73.7,0.5,0.3,0.,0.,0.1,0.,0.1,3.,23.,0.1,0.1,0.,0.,0.,0.1,1.7,13.2
9,"Barkley, Saquon",NYG,TEN,RB,16.3,71.7,0.3,0.2,0.,0.,0.,0.,0.1,4.4,27.2,0.1,0.1,0.1,0.,1.2,0.1,1.2,12.2
10,"Johnson, Kerryon",DET,@BUF,RB,11.3,41.4,0.5,0.4,0.1,0.,0.,0.,0.,4.2,34.8,0.3,0.1,0.1,0.,2.9,0.,1.3,12.2
11,"Lynch, Marshawn",OAK,@CIN,RB,15.5,70.,0.6,0.3,0.,0.2,0.,0.,0.1,2.2,16.7,0.,0.1,0.,0.2,0.,0.1,1.5,12.2
12,"McCoy, LeSean",BUF,DET,RB,14.5,65.5,0.4,0.2,0.,0.1,0.,0.,0.,3.1,24.1,0.1,0.1,0.,0.,0.,0.,1.6,12.1
13,"Michel, Sony",NEP,@PIT,RB,10.7,44.2,0.7,0.6,0.1,0.,0.,0.,0.,2.5,20.4,0.2,0.1,0.,0.,6.6,0.,1.9,12.1
14,"Howard, Jordan",CHI,GBP,RB,17.,76.,0.5,0.3,0.1,0.,0.,0.,0.,1.5,11.3,0.,0.,0.,0.,0.,0.1,1.3,11.8
15,"Ingram, Mark",NOR,@CAR,RB,12.,53.7,0.6,0.4,0.,0.1,0.,0.,0.,3.1,24.3,0.1,0.1,0.,0.,3.5,0.1,1.4,11.3
16,"Freeman, Devonta",ATL,ARZ,RB,12.,49.6,0.5,0.4,0.,0.,0.,0.,0.,2.6,24.2,0.1,0.1,0.,0.,0.,0.1,1.7,11.2
