Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Lee, Andy",ARZ,LAR,P,5.8,273.3,31.6,1.8,18.3
2,"Hekker, Johnny",LAR,@ARZ,P,4.9,235.4,10.2,2.5,17.8
3,"Koch, Sam",BAL,@LAC,P,5.1,231.8,20.3,2.5,17.4
4,"Edwards, Lachlan",NYJ,GBP,P,5.6,252.,27.9,1.8,17.4
5,"Daniel, Trevor",HOU,@PHI,P,4.9,236.2,31.9,1.9,16.5
6,"Huber, Kevin",CIN,@CLE,P,5.3,245.6,24.1,1.7,16.5
7,"Kern, Brett",TEN,WAS,P,4.8,224.4,19.2,1.9,16.1
8,"Haack, Matt",MIA,JAC,P,5.1,227.7,14.7,1.8,16.
9,"Pinion, Bradley",SFO,CHI,P,5.2,228.4,15.2,1.8,16.
10,"O'Donnell, Pat",CHI,@SFO,P,5.,229.8,24.9,1.6,15.7
11,"Dickson, Michael",SEA,KCC,P,5.1,228.6,23.5,1.6,15.5
12,"Townsend, Johnny",OAK,DEN,P,4.6,215.7,16.9,1.9,15.4
13,"Cooke, Logan",JAC,@MIA,P,5.,222.1,16.3,1.6,15.2
14,"Dixon, Riley",NYG,@IND,P,5.1,229.4,19.6,1.4,14.8
15,"Palardy, Michael",CAR,ATL,P,4.6,207.8,14.1,1.6,14.5
16,"Sanchez, Rigoberto",IND,NYG,P,4.7,214.3,5.5,1.5,14.4
17,"Way, Tress",WAS,@TEN,P,4.5,204.3,23.7,1.6,14.3
18,"Colquitt, Dustin",KCC,@SEA,P,4.3,194.9,10.4,1.9,14.3
19,"Wile, Matt",MIN,@DET,P,4.5,191.3,13.3,1.8,14.1
20,"Kaser, Drew",LAC,BAL,P,4.1,197.4,17.8,1.5,13.7
21,"King, Marquette",DEN,@OAK,P,4.3,197.1,12.8,1.5,13.6
22,"Anger, Bryan",TBB,@DAL,P,4.1,182.8,7.9,1.8,13.4
23,"Bojorquez, Corey",BUF,@NEP,P,4.4,194.1,13.9,1.3,13.3
24,"Martin, Sam",DET,MIN,P,4.3,189.4,13.2,1.4,13.2
25,"Jones, Chris",DAL,TBB,P,3.9,175.3,7.1,1.9,13.1
26,"Colquitt, Britton",CLE,CIN,P,4.1,189.4,21.,1.2,12.6
27,"Allen, Ryan",NEP,BUF,P,3.8,166.5,6.,1.5,12.
28,"Johnston, Cam",PHI,HOU,P,3.9,177.,11.,1.3,11.9
29,"Berry, Jordan",PIT,@NOR,P,3.8,163.3,11.,1.5,11.7
30,"Scott, J.K.",GBP,@NYJ,P,3.9,170.,10.7,1.1,11.4
31,"Bosher, Matt",ATL,@CAR,P,3.4,153.6,12.,1.4,11.2
32,"Morstead, Thomas",NOR,PIT,P,3.,141.,11.,1.2,10.
