Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Elliott, Ezekiel",DAL,TBB,RB,20.6,95.6,0.8,0.5,0.2,0.,0.,0.,0.1,2.5,26.1,0.1,0.1,0.1,0.,0.,0.,1.8,17.4
2,"Johnson, David",ARZ,LAR,RB,18.1,75.6,0.8,0.6,0.,0.1,0.,0.,0.,4.5,46.2,0.1,0.2,0.1,0.2,1.5,0.2,2.2,17.3
3,"Gurley, Todd",LAR,@ARZ,RB,17.9,77.1,0.7,0.6,0.,0.,0.,0.,0.,3.9,39.3,0.2,0.2,0.1,0.1,0.,0.1,2.3,16.8
4,"Fournette, Leonard",JAC,@MIA,RB,20.3,78.8,0.8,0.6,0.1,0.,0.,0.,0.1,3.,24.9,0.1,0.1,0.,0.,1.6,0.,1.7,15.2
5,"Kamara, Alvin",NOR,PIT,RB,10.4,52.4,0.6,0.4,0.,0.1,0.,0.,0.,4.7,46.7,0.3,0.2,0.1,0.,25.5,0.1,2.,15.1
6,"Bell, Le'Veon",PIT,@NOR,RB,16.6,71.8,0.5,0.4,0.1,0.,0.,0.,0.,4.6,36.7,0.2,0.1,0.1,0.,0.,0.1,1.5,14.7
7,"Cook, Dalvin",MIN,@DET,RB,15.6,69.1,0.7,0.6,0.,0.,0.,0.,0.,3.6,28.3,0.1,0.1,0.1,0.,1.1,0.1,2.,14.2
8,"Michel, Sony",NEP,BUF,RB,12.3,50.8,0.8,0.7,0.1,0.,0.,0.,0.,3.,24.2,0.3,0.1,0.,0.,7.2,0.,2.2,14.
9,"Hunt, Kareem",KCC,@SEA,RB,15.8,72.5,0.5,0.3,0.,0.,0.1,0.,0.1,3.,22.6,0.1,0.1,0.,0.,0.,0.1,1.7,12.9
10,"Barkley, Saquon",NYG,@IND,RB,16.5,72.6,0.4,0.2,0.,0.,0.,0.,0.1,4.4,27.5,0.1,0.1,0.1,0.,1.3,0.1,1.2,12.4
11,"Ingram, Mark",NOR,PIT,RB,12.9,58.2,0.6,0.4,0.,0.1,0.,0.,0.,3.4,26.,0.1,0.1,0.1,0.,3.9,0.1,1.5,12.1
12,"Mixon, Joe",CIN,@CLE,RB,17.,65.4,0.5,0.3,0.1,0.,0.,0.,0.,3.1,29.3,0.,0.1,0.1,0.,0.,0.1,1.5,12.
